uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
509a5987-0032-4e36-b083-cc88983f1105,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2018-04-23T19:00Z,LENO.2018.17,,,drag and flag,135,N,0,0,0,,NEON.DOC.014045vJ,jwhite@battelleecology.org,
5b6f1ea3-7d65-44c3-a4a2-ae62eda0835a,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2019-06-04T16:53Z,LENO.2019.23,,,drag and flag,160,N,,,,,NEON.DOC.014045vK,0000-0002-4103-6144,
6b7bbd57-1427-44e8-9f0b-c3b8a406d605,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2019-03-28T16:12Z,LENO.2019.13,,,drag,110,N,,,,,NEON.DOC.014045vK,0000-0002-8528-4289,
6edc7551-56e7-4c32-b373-ab4a021421ac,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2018-07-17T21:50Z,LENO.2018.29,,,drag,153,N,0,0,0,Distance estimated (described in remarks),NEON.DOC.014045vJ,csantiago@battelleecology.org,data entered on datasheet. Sheet was lost. Times and distance sampled are estimated. No ticks at plot.
824542e3-2d49-457b-9e3f-ffc04d70682c,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2016-11-01T18:36Z,LENO.2016.44,,,drag,165,no,0,0,0,No known compromise,NEON.DOC.014045vG,pkulakowski@field-ops.org,
8ec0fa2d-8249-4820-bb7d-22ee3156640b,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2016-10-11T19:18Z,LENO.2016.41,,,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,ctittle@field-ops.org,
8fbf9fcb-b8b3-49d0-add0-f01ada06b1fa,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2017-08-01T19:39Z,LENO.2017.32,,,drag,150,N,0,0,0,,NEON.DOC.014045vH,charrell@battelleecology.org,
91d9d5cf-66b6-4890-bf1f-6ca81b586717,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2016-06-28T16:12Z,LENO.2016.26,,,drag,157,N,0,0,0,No known compromise,NEON.DOC.014045vG,jwhite@neoninc.org,
ab5df942-d83f-4541-ae49-6cd07ad245a1,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2017-05-09T19:11Z,LENO.2017.20,,,drag,157,N,0,0,0,No known compromise,NEON.DOC.014045vH,iahmed@battelleecology.org,
b138a598-fc12-45c0-90cb-dcc0abeaf191,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2018-08-06T14:03Z,LENO.2018.32,,,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vJ,hodom@battelleecology.org,
b69308c6-3271-41a0-91db-214742adf1b2,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2016-11-21T19:10Z,LENO.2016.47,,,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,ctittle@field-ops.org,
b7e99268-c7aa-4678-b6e1-b0390e76027a,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2016-08-09T15:42Z,LENO.2016.32,,,drag,165,N,0,0,0,No known compromise,NEON.DOC.014045vG,GPierce@field-ops.org,
d00e4de9-3586-463c-9ea1-4346f6e16ab0,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2018-07-17T21:49Z,LENO.2018.29,,,drag,111,N,0,0,0,,NEON.DOC.014045vJ,charrell@battelleecology.org,SE corner of plot muddy
d51ff64c-2fb4-4e52-af01-36b2b0f06662,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2018-10-01T17:15Z,LENO.2018.40,,,drag,148,N,0,0,0,,NEON.DOC.014045vJ,slambert@battelleecology.org,
d799be7a-a0c7-424f-b341-4c47ed3e1171,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2019-06-04T17:30Z,LENO.2019.23,,,drag,160,N,,,,,NEON.DOC.014045vK,0000-0003-3960-4840,
de61fe59-5fa4-42c8-8a8e-28375f43dd16,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2017-06-01T15:11Z,LENO.2017.23,,,drag,140,N,0,0,0,,NEON.DOC.014045vH,rvalentine@battelleecology.org,
f78088e2-6f12-4956-abc3-200eab5a3f2b,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2018-06-04T18:06Z,LENO.2018.23,,,drag,118,N,0,0,0,No known compromise,NEON.DOC.014045vJ,hodom@battelleecology.org,
fa1b83a9-fb74-499d-a70a-a2c80091f9c8,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2016-11-21T16:06Z,LENO.2016.47,,,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,ctittle@field-ops.org,
fbff06a6-f51c-431c-884d-06e9dc0827d8,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,113,0.2,,,2016-07-20T19:27Z,LENO.2016.29,,,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,KHildebrand@field-ops.org,
0ac8d4f7-7fba-47e6-a0a0-15135d150c84,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2017-07-10T16:23Z,LENO.2017.29,LENO_023.20170710,,drag,105,Y,0,0,3,No known compromise,NEON.DOC.014045vH,khildebrand@battelleecology.org,
0b4301ea-b64d-4b35-8dbf-1da59db40825,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2016-10-11T18:26Z,LENO.2016.41,LENO_003.20161011,,drag,160,Y,0,2,0,No known compromise,NEON.DOC.014045vG,bgibson@field-ops.org,
117493fd-c39b-4fd7-bac0-8732db6042c2,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2016-06-28T17:01Z,LENO.2016.26,LENO_023.20160628,,drag and flag,160,Y,0,1,0,No known compromise,NEON.DOC.014045vG,jwhite@neoninc.org,
1332249e-c763-4622-9cf3-c436d76c6973,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2018-08-29T12:13Z,LENO.2018.35,LENO_003.20180829,A00000013949,drag,150,Y,0,2,0,No known compromise,NEON.DOC.014045vJ,cbarefoot@battelleecology.org,
1e853326-0914-44e7-bcde-cb81d7e35ff5,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2017-05-30T19:29Z,LENO.2017.23,LENO_023.20170530,,drag,150,Y,0,1,0,No known compromise,NEON.DOC.014045vH,ecolberg@battelleecology.org,
2e82b4ca-0bb7-421e-973d-f522892ff7ba,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2018-06-04T17:21Z,LENO.2018.23,LENO_003.20180604,A00000013968,drag,154,y,0,1,0,No known compromise,NEON.DOC.014045vJ,mensley-field@battelleecology.org,
51e2a320-7f4d-4082-824e-c69db9fb5ab9,LENO_003.tickPlot.tck,D08,LENO,LENO 3,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2016-09-20T16:54Z,LENO.2016.38,LENO_003.20160920,,drag,160,Y,0,8,0,No known compromise,NEON.DOC.014045vG,mmattox@field-ops.org,
54a9058d-3902-4efd-852f-5ead67316b2b,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2019-06-27T16:00Z,LENO.2019.26,LENO_023.20190627,D00000048157,drag,160,Y,,,,No known compromise,NEON.DOC.014045vK,0000-0002-5431-1379,
5951769c-df36-4c9f-b458-895fd2982d6d,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2017-08-01T18:56Z,LENO.2017.32,LENO_023.20170801,,drag,130,Y,0,2,0,No known compromise,NEON.DOC.014045vH,charrell@battelleecology.org,
7550ed2d-a9d7-4966-a8f6-60bf8c91c905,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2017-09-14T14:16Z,LENO.2017.38,LENO_003.20170914,,drag and flag,150,Yes,0,3,0,No known compromise,NEON.DOC.014045vH,rvalentine@battelleecology.org,
77b2a5e2-feca-4e32-ba6d-e94aa6ed4619,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2016-09-06T17:33Z,LENO.2016.36,LENO_003.20160906,,drag,160,Y,0,14,23,No known compromise,NEON.DOC.014045vG,KHildebrand@field-ops.org,
78933e4a-4887-4610-9230-b429bce684e4,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2017-08-21T16:41Z,LENO.2017.35,LENO_023.20170821,,drag,130,Y,0,4,2,No known compromise,NEON.DOC.014045vH,spreer@battelleecology.org,
7998c060-f5c5-4aba-b7e4-9f23db49007c,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2018-06-20T16:22Z,LENO.2018.25,LENO_023.20180620,A00000013956,drag,85,Y,0,2,0,No known compromise,NEON.DOC.014045vJ,lnagel@battelleecology.org,
835544b1-b622-4f8e-af5a-453454f47411,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2017-09-14T15:01Z,LENO.2017.38,LENO_023.20170914,,drag and flag,160,Y,0,2,0,No known compromise,NEON.DOC.014045vH,iahmed@battelleecology.org,
8435aad1-290b-48e4-b581-a7a74321465b,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2016-09-06T18:43Z,LENO.2016.36,LENO_023.20160906,,drag,160,Y,0,6,73,No known compromise,NEON.DOC.014045vG,KHildebrand@field-ops.org,
90cc4e8a-f51f-44c2-9c6c-343e74736082,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2017-04-17T15:28Z,LENO.2017.17,LENO_023.20170417,,drag,100,Y,1,1,0,No known compromise,NEON.DOC.014045vG,elamb@battelleecology.org,
9bf7e030-c318-432b-957b-b26a96dae810,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2017-06-19T19:27Z,LENO.2017.26,LENO_003.20170619,,drag,160,Y,0,1,0,No known compromise,NEON.DOC.014045vH,csantiago@battelleecology.org,
a4566f6b-d76c-412c-a0ae-4a41d1a6c857,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2016-09-20T17:38Z,LENO.2016.38,LENO_023.20160920,,drag,160,yes,0,3,0,No known compromise,NEON.DOC.014045vG,mmattox@field-ops.org,
a4f57b11-0199-4ba9-a810-69737f3f70ba,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2017-10-05T16:24Z,LENO.2017.41,LENO_023.20171005,,drag and flag,160,Y,0,2,0,No known compromise,NEON.DOC.014045vH,charrell@battelleecology.org,
ac7235c6-13d8-485b-9806-c81aade17578,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2017-05-09T19:57Z,LENO.2017.20,LENO_023.20170509,,drag,83,yes,0,1,0,No known compromise,NEON.DOC.014045vH,lnagel@battelleecology.org,
b5d46cb9-02d7-475f-8624-a0b18ee83b51,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2016-07-20T20:23Z,LENO.2016.29,LENO_003.20160720,,drag,120,Y,1,1,0,No known compromise,NEON.DOC.014045vG,KHildebrand@field-ops.org,Rained out-stopped sampling early
d8cf9486-73fd-46bc-b110-33921eedb730,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2018-08-28T15:00Z,LENO.2018.35,LENO_023.20180828,A00000015266,drag,150,Y,0,3,0,No known compromise,NEON.DOC.014045vJ,cbarefoot@battelleecology.org,1 tick dropped during sampling. 2 remaining in vial.
da56ea2f-0bd7-4f1b-9665-4b00932dcbc0,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2018-10-01T16:07Z,LENO.2018.40,LENO_023.20181001,A00000015261,drag,160,Y,0,1,0,No known compromise,NEON.DOC.014045vJ,rvalentine@battelleecology.org,
dc95c523-b46a-497c-b17f-6e54ba82b7c5,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2017-07-10T17:04Z,LENO.2017.29,LENO_003.20170710,,drag,150,Y,0,51,2,No known compromise,NEON.DOC.014045vH,khildebrand@battelleecology.org,site-year possibly subsampled in ID lab counts
de2e1920-605b-46ee-9d53-d4422288aca3,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2018-05-09T14:38Z,LENO.2018.19,LENO_003.20180509,B00000003245,drag,155,Y,1,0,0,No known compromise,NEON.DOC.014045vJ,mensley-field@battelleecology.org,
dfb10db8-a2f9-4d12-a925-2d44c0450bdb,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2016-05-31T19:32Z,LENO.2016.22,LENO_003.20160531,,drag and flag,160,Y,0,3,0,No known compromise,NEON.DOC.014045vG,PKulakowski@field-ops.org,
e7830cbc-3445-4178-aba4-12846a035205,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2017-10-05T15:47Z,LENO.2017.41,LENO_003.20171005,,drag and flag,150,Y,0,0,1,No known compromise,NEON.DOC.014045vH,charrell@battelleecology.org,
9bc7ebee-d99f-41a8-beea-b2f60c648c88,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2017-08-21T17:18Z,LENO.2017.35,,,drag,160,N,0,0,0,,NEON.DOC.014045vH,zjennings@battelleecology.org,
ad190486-e73e-4705-89bc-ad7f698f2083,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2019-05-21T16:35Z,LENO.2019.21,LENO_003.20190521,D00000048047,drag,145,yes,,,,No known compromise,NEON.DOC.014045vK,0000-0002-6741-7770,
06427e55-27a1-45b6-b03f-59da16ac7d3c,LENO_042.tickPlot.tck,D08,LENO,LENO_042,distributed,Woody Wetlands,31.817828,-88.182885,WGS84,20.2,15,0.3,,,2016-11-01T21:29Z,LENO.2016.44,,,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,rvalentine@field-ops.org,
19c7732f-1f83-4815-a686-2f8bceb63a97,LENO_004.tickPlot.tck,D08,LENO,LENO_004,distributed,Woody Wetlands,31.822384,-88.181964,WGS84,20.2,12.6,0.2,,,2018-10-01T17:12Z,LENO.2018.40,,,drag and flag,80,N,0,0,0,,NEON.DOC.014045vJ,hwhatley@battelleecology.org,Area excluded due to moisture
20911ecd-4f94-43c7-811d-a02965d60150,LENO_042.tickPlot.tck,D08,LENO,LENO_042,distributed,Woody Wetlands,31.817828,-88.182885,WGS84,20.2,15,0.3,,,2018-05-09T13:06Z,LENO.2018.19,,,drag and flag,115,N,0,0,0,,NEON.DOC.014045vJ,kjones01@battelleecology.org,
20f03c3c-1a59-4117-afc5-3280ffe7844a,LENO_004.tickPlot.tck,D08,LENO,LENO_004,distributed,Woody Wetlands,31.822384,-88.181964,WGS84,20.2,12.6,0.2,,,2016-09-06T14:28Z,LENO.2016.36,,,drag,120,N,0,0,0,No known compromise,NEON.DOC.014045vG,RValentine@field-ops.org,
261712e8-2daf-46f6-8b39-64f93d71aa7d,LENO_004.tickPlot.tck,D08,LENO,LENO_004,distributed,Woody Wetlands,31.822384,-88.181964,WGS84,20.2,12.6,0.2,,,2019-03-28T14:05Z,LENO.2019.13,,,drag and flag,80,n,,,,,NEON.DOC.014045vK,0000-0001-6892-534X,
2c6c5078-4ca9-4f6b-9d57-1489bed0d89a,LENO_042.tickPlot.tck,D08,LENO,LENO_042,distributed,Woody Wetlands,31.817828,-88.182885,WGS84,20.2,15,0.3,,,2018-10-01T16:50Z,LENO.2018.40,,,drag,135,n,0,0,0,,NEON.DOC.014045vJ,hwhatley@battelleecology.org,Area excluded due to moisture
2e847978-b056-4820-888b-9659883cbbbf,LENO_042.tickPlot.tck,D08,LENO,LENO_042,distributed,Woody Wetlands,31.817828,-88.182885,WGS84,20.2,15,0.3,,,2018-06-20T14:59Z,LENO.2018.25,,,drag,95,n,0,0,0,,NEON.DOC.014045vJ,lnagel@battelleecology.org,
3458ca21-3e6d-4cae-997c-190c986ba935,LENO_004.tickPlot.tck,D08,LENO,LENO_004,distributed,Woody Wetlands,31.822384,-88.181964,WGS84,20.2,12.6,0.2,,,2019-06-04T19:13Z,LENO.2019.23,,,drag,160,n,,,,,NEON.DOC.014045vK,0000-0003-3960-4840,
34d6ebe9-ee78-4c7a-b578-9f2fb3601cb1,LENO_002.tickPlot.tck,D08,LENO,LENO_002,distributed,Woody Wetlands,31.806282,-88.195217,WGS84,20.1,16.7,0.2,,,2016-11-01T17:42Z,LENO.2016.44,,,drag,160,n,0,0,0,No known compromise,NEON.DOC.014045vG,pkulakowski@field-ops.org,
3b92fca8-9e4f-4886-82dc-3554ac1d5f48,LENO_015.tickPlot.tck,D08,LENO,LENO_015,distributed,Woody Wetlands,31.8173,-88.19149,WGS84,20.3,12.1,0.6,,,2018-04-23T20:54Z,LENO.2018.17,,,drag,110,n,0,0,0,,NEON.DOC.014045vJ,charrell@battelleecology.org,
3f155c3f-adf5-4cee-b014-7e921f45b25e,LENO_002.tickPlot.tck,D08,LENO,LENO_002,distributed,Woody Wetlands,31.806282,-88.195217,WGS84,20.1,16.7,0.2,,,2017-08-01T20:20Z,LENO.2017.32,,,drag,160,n,0,0,0,,NEON.DOC.014045vH,charrell@battelleecology.org,
45a81a38-cc4c-459c-b3d4-97ab4d8727df,LENO_015.tickPlot.tck,D08,LENO,LENO_015,distributed,Woody Wetlands,31.8173,-88.19149,WGS84,20.3,12.1,0.6,,,2016-09-06T15:22Z,LENO.2016.36,,,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,RValentine@field-ops.org,
4ecdf750-8733-41f0-96cc-c9bc2ba6e34f,LENO_042.tickPlot.tck,D08,LENO,LENO_042,distributed,Woody Wetlands,31.817828,-88.182885,WGS84,20.2,15,0.3,,,2017-04-17T17:28Z,LENO.2017.17,,,drag and flag,120,N,0,0,0,No known compromise,NEON.DOC.014045vG,elamb@battelleecology.org,
50a222b4-954a-4e4f-90fe-a07622ac7413,LENO_015.tickPlot.tck,D08,LENO,LENO_015,distributed,Woody Wetlands,31.8173,-88.19149,WGS84,20.3,12.1,0.6,,,2019-06-04T18:38Z,LENO.2019.23,,,drag,165,N,,,,,NEON.DOC.014045vK,0000-0002-4103-6144,
5952541a-73a6-493d-bf05-d2aaa5c953d5,LENO_015.tickPlot.tck,D08,LENO,LENO_015,distributed,Woody Wetlands,31.8173,-88.19149,WGS84,20.3,12.1,0.6,,,2016-05-31T16:54Z,LENO.2016.22,,,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,BGibson@field-ops.org,
63264c5b-5502-4e81-a946-70bec86ac80d,LENO_015.tickPlot.tck,D08,LENO,LENO_015,distributed,Woody Wetlands,31.8173,-88.19149,WGS84,20.3,12.1,0.6,,,2016-08-09T16:24Z,LENO.2016.32,,,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,GPierce@field-ops.org,
662fac56-59a0-458b-a207-7e2857c967c2,LENO_002.tickPlot.tck,D08,LENO,LENO_002,distributed,Woody Wetlands,31.806282,-88.195217,WGS84,20.1,16.7,0.2,,,2019-06-27T14:55Z,LENO.2019.26,,,drag,160,N,,,,,NEON.DOC.014045vK,0000-0002-5431-1379,
71dba99c-225f-42ad-9dd9-87e68a3c1a24,LENO_015.tickPlot.tck,D08,LENO,LENO_015,distributed,Woody Wetlands,31.8173,-88.19149,WGS84,20.3,12.1,0.6,,,2016-11-21T18:28Z,LENO.2016.47,,,drag,160,no,0,0,0,No known compromise,NEON.DOC.014045vG,ctittle@field-ops.org,
820a0907-3f80-42c7-abfd-b34697728946,LENO_002.tickPlot.tck,D08,LENO,LENO_002,distributed,Woody Wetlands,31.806282,-88.195217,WGS84,20.1,16.7,0.2,,,2016-06-28T15:25Z,LENO.2016.26,,,drag,160,no,0,0,0,No known compromise,NEON.DOC.014045vG,jwhite@neoninc.org,
83447747-5d93-4d85-83cd-12acc4c01556,LENO_004.tickPlot.tck,D08,LENO,LENO_004,distributed,Woody Wetlands,31.822384,-88.181964,WGS84,20.2,12.6,0.2,,,2016-11-01T20:44Z,LENO.2016.44,,,drag and flag,160,no,0,0,0,No known compromise,NEON.DOC.014045vG,rvalentine@field-ops.org,
