name,pubCode,description,startDate,endDate
"tck.samplingProtocolVersion","NEON.DOC.014045vB","NEON.DOC.014045vB",2012-01-01T00:00:00Z,2014-03-19T00:00:00Z
"tck.samplingProtocolVersion","NEON.DOC.014045vC","NEON.DOC.014045vC",2012-01-01T00:00:00Z,2014-03-19T00:00:00Z
"tck.samplingProtocolVersion","NEON.DOC.014045vD","NEON.DOC.014045vD",2014-03-19T00:00:00Z,2014-10-01T00:00:00Z
"tck.samplingProtocolVersion","NEON.DOC.014045vE","NEON.DOC.014045vE",2014-10-01T00:00:00Z,2015-03-17T00:00:00Z
"tck.samplingProtocolVersion","NEON.DOC.014045vF","NEON.DOC.014045vF",2015-03-17T00:00:00Z,2016-01-29T00:00:00Z
"tck.samplingProtocolVersion","NEON.DOC.014045vG","NEON.DOC.014045vG",2016-01-29T00:00:00Z,2017-10-31T00:00:00Z
"tck.samplingProtocolVersion","NEON.DOC.014045vH","NEON.DOC.014045vH",2017-02-17T00:00:00Z,2018-02-20T00:00:00Z
"tck.samplingProtocolVersion","NEON.DOC.014045vJ","NEON.DOC.014045vJ",2018-02-20T00:00:00Z,2019-03-18T00:00:00Z
"tck.samplingProtocolVersion","NEON.DOC.014045vK","NEON.DOC.014045vK",2019-03-08T00:00:00Z,2022-04-01T00:00:00Z
"tck.samplingProtocolVersion","NEON.DOC.014045vL","NEON.DOC.014045vL",2022-03-17T00:00:00Z,
"tck.sexOrAge","Male","Male",2012-01-01T00:00:00Z,
"tck.sexOrAge","Female","Female",2012-01-01T00:00:00Z,
"tck.sexOrAge","Adult","Adult of unknown sex",2012-01-01T00:00:00Z,
"tck.sexOrAge","Nymph","Nymph",2012-01-01T00:00:00Z,
"tck.sexOrAge","Larva","Larva",2012-01-01T00:00:00Z,
"Yes or No choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes or No choice","N","No",2012-01-01T00:00:00Z,
